Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line,Over,Under
41,41,1/17/2025,40-019,LAL,,BRK,,,,,,,,,,,,,,,,,,,,,-1,,,,,
42,42,1/19/2025,40-021,LAL,@,LAC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
43,43,1/21/2025,40-023,LAL,,WAS,,,,,,,,,,,,,,,,,,,,,-1,,,,,
44,44,1/23/2025,40-025,LAL,,BOS,,,,,,,,,,,,,,,,,,,,,-1,,,,,
45,45,1/25/2025,40-027,LAL,@,GSW,,,,,,,,,,,,,,,,,,,,,-1,,,,,
46,46,1/27/2025,40-029,LAL,@,CHA,,,,,,,,,,,,,,,,,,,,,-1,,,,,
47,47,1/28/2025,40-030,LAL,@,PHI,,,,,,,,,,,,,,,,,,,,,-1,,,,,
48,48,1/30/2025,40-032,LAL,@,WAS,,,,,,,,,,,,,,,,,,,,,-1,,,,,
49,49,2/1/2025,40-034,LAL,@,NYK,,,,,,,,,,,,,,,,,,,,,-1,,,,,
50,50,2/4/2025,40-037,LAL,@,LAC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
51,51,2/6/2025,40-039,LAL,,GSW,,,,,,,,,,,,,,,,,,,,,-1,,,,,
52,52,2/8/2025,40-041,LAL,,IND,,,,,,,,,,,,,,,,,,,,,-1,,,,,
53,53,2/11/2025,40-044,LAL,,UTA,,,,,,,,,,,,,,,,,,,,,-1,,,,,
54,54,2/12/2025,40-045,LAL,@,UTA,,,,,,,,,,,,,,,,,,,,,-1,,,,,
55,55,2/20/2025,40-053,LAL,@,POR,,,,,,,,,,,,,,,,,,,,,-1,,,,,
56,56,2/22/2025,40-055,LAL,@,DEN,,,,,,,,,,,,,,,,,,,,,-1,,,,,
57,57,2/25/2025,40-058,LAL,,DAL,,,,,,,,,,,,,,,,,,,,,-1,,,,,
58,58,2/27/2025,40-060,LAL,,MIN,,,,,,,,,,,,,,,,,,,,,-1,,,,,
59,59,2/28/2025,40-061,LAL,,LAC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
60,60,3/2/2025,40-063,LAL,,LAC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
61,61,3/4/2025,40-065,LAL,,NOP,,,,,,,,,,,,,,,,,,,,,-1,,,,,
62,62,3/6/2025,40-067,LAL,,NYK,,,,,,,,,,,,,,,,,,,,,-1,,,,,
63,63,3/8/2025,40-069,LAL,@,BOS,,,,,,,,,,,,,,,,,,,,,-1,,,,,
64,64,3/10/2025,40-071,LAL,@,BRK,,,,,,,,,,,,,,,,,,,,,-1,,,,,
65,65,3/13/2025,40-074,LAL,@,MIL,,,,,,,,,,,,,,,,,,,,,-1,,,,,
66,66,3/14/2025,40-075,LAL,@,DEN,,,,,,,,,,,,,,,,,,,,,-1,,,,,
67,67,3/16/2025,40-077,LAL,,PHO,,,,,,,,,,,,,,,,,,,,,-1,,,,,
68,68,3/18/2025,40-079,LAL,,MIL,,,,,,,,,,,,,,,,,,,,,-1,,,,,
69,69,3/19/2025,40-080,LAL,,DEN,,,,,,,,,,,,,,,,,,,,,-1,,,,,
70,70,3/22/2025,40-083,LAL,,CHI,,,,,,,,,,,,,,,,,,,,,-1,,,,,
71,71,3/24/2025,40-085,LAL,@,ORL,,,,,,,,,,,,,,,,,,,,,-1,,,,,
72,72,3/26/2025,40-087,LAL,@,IND,,,,,,,,,,,,,,,,,,,,,-1,,,,,
73,73,3/27/2025,40-088,LAL,@,CHI,,,,,,,,,,,,,,,,,,,,,-1,,,,,
74,74,3/29/2025,40-090,LAL,@,MEM,,,,,,,,,,,,,,,,,,,,,-1,,,,,
75,75,3/31/2025,40-092,LAL,,HOU,,,,,,,,,,,,,,,,,,,,,-1,,,,,
76,76,4/3/2025,40-095,LAL,,GSW,,,,,,,,,,,,,,,,,,,,,-1,,,,,
77,77,4/4/2025,40-096,LAL,,NOP,,,,,,,,,,,,,,,,,,,,,-1,,,,,
78,78,4/6/2025,40-098,LAL,@,OKC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
79,79,4/8/2025,40-100,LAL,@,OKC,,,,,,,,,,,,,,,,,,,,,-1,,,,,
80,80,4/9/2025,40-101,LAL,@,DAL,,,,,,,,,,,,,,,,,,,,,-1,,,,,
81,81,4/11/2025,40-103,LAL,,HOU,,,,,,,,,,,,,,,,,,,,,-1,,,,,
82,82,4/13/2025,40-105,LAL,@,POR,,,,,,,,,,,,,,,,,,,,,-1,,,,,
